LLT	PT
Aspergillus niger infection	Aspergillus infection
Aspergillus terreus infection	Aspergillus infection
Aspergillus test	Aspergillus test
Aspergillus test negative	Aspergillus test negative
Aspergillus test positive	Aspergillus test positive
Aspermia	Aspermia
Asphyxia	Asphyxia
Asphyxia imminens of newborn	Neonatal asphyxia
Asphyxia livida of newborn	Neonatal asphyxia
Asphyxia neonatal	Neonatal asphyxia
Asphyxia pallida of newborn	Neonatal asphyxia
Asphyxiating thoracic dystrophy	Asphyxiating thoracic dystrophy
Asphyxiation	Asphyxia
Aspiration	Aspiration
Aspiration biopsy	Diagnostic aspiration
Aspiration bone marrow	Aspiration bone marrow
Aspiration bone marrow abnormal	Aspiration bone marrow abnormal
Aspiration bone marrow normal	Aspiration bone marrow normal
Aspiration breast	Aspiration breast
Aspiration bursa	Aspiration bursa
Aspiration bursa abnormal	Aspiration bursa abnormal
Aspiration bursa normal	Aspiration bursa normal
Aspiration cyst NOS	Cyst aspiration
Aspiration cyst NOS abnormal	Cyst aspiration abnormal
Aspiration cyst NOS normal	Cyst aspiration normal
Aspiration epididymal cyst	Aspiration epididymal cyst
Aspiration epididymal cyst abnormal	Aspiration epididymal cyst abnormal
Aspiration epididymal cyst normal	Aspiration epididymal cyst normal
Aspiration into bronchus	Aspiration
Aspiration into trachea	Aspiration
Aspiration joint	Aspiration joint
Aspiration joint abnormal	Aspiration joint abnormal
Aspiration joint normal	Aspiration joint normal
Aspiration liver	Biopsy liver
Aspiration of gastric residual	Aspiration of gastric residual
Aspiration of gastric residual volume	Aspiration of gastric residual
Aspiration of gastrointestinal contents into airways	Aspiration
Aspiration of joint	Aspiration joint
Aspiration of spermatocele	Aspiration spermatocele
Aspiration pleural cavity	Aspiration pleural cavity
Aspiration pleural cavity abnormal	Aspiration pleural cavity abnormal
Aspiration pleural cavity normal	Aspiration pleural cavity normal
Aspiration pneumonia	Pneumonia aspiration
Aspiration pneumonitis	Pneumonia aspiration
Aspiration prophylaxis	Respiratory disorder prophylaxis
Aspiration prostatic fluid	Biopsy prostate
Aspiration site pain	Procedural pain
Aspiration spermatocele	Aspiration spermatocele
Aspiration spermatocele abnormal	Aspiration spermatocele abnormal
Aspiration spermatocele normal	Aspiration spermatocele normal
Aspiration thrombectomy	Thrombectomy
Aspiration tracheal abnormal	Aspiration tracheal abnormal
Aspiration tracheal normal	Aspiration tracheal normal
Aspirin asthma	Aspirin-exacerbated respiratory disease
Aspirin-exacerbated respiratory disease	Aspirin-exacerbated respiratory disease
Aspirin-like platelet defect	Congenital thrombocyte disorder
Aspirin-sensitive asthma	Aspirin-exacerbated respiratory disease
Asplenia	Asplenia
Asplenia syndrome	Heterotaxia
Assassination	Homicide
Assault	Physical assault
Assault unprovoked	Physical assault
Assisted delivery	Assisted delivery
Assisted delivery NOS	Assisted delivery
Assisted fertilisation	Assisted fertilisation
Assisted fertilization	Assisted fertilisation
Assisted reproductive technology	Assisted reproductive technology
Assisted suicide	Assisted suicide
Assisted ventilation	Mechanical ventilation
Associated with (APAH)	Pulmonary arterial hypertension
Associated with pulmonary arterial hypertension	Pulmonary arterial hypertension
Associating liver partition and portal vein ligation for staged hepatectomy	Hepatectomy
Astasia	Dysstasia
Astatic seizure	Atonic seizures
Asteatosis	Asteatosis
Asteatotic eczema	Eczema asteatotic
Astereognosis	Agnosia
Asterixis	Asterixis
Asteroid hyalosis	Hyalosis asteroid
Asthenia	Asthenia
Asthenic personality disorder	Personality disorder
Asthenic-vegetative syndrome	Autonomic nervous system imbalance
Astheno-depressive syndrome	Depressed mood
Astheno-emotional syndrome	Mental disorder due to a general medical condition
Asthenopia	Asthenopia
Asthenospermia	Asthenospermia
Asthenozoospermia	Asthenospermia
Asthma	Asthma
Asthma NOS	Asthma
Asthma aggravated	Asthma
Asthma aspirin-sensitive	Aspirin-exacerbated respiratory disease
Asthma bronchial	Asthma
Asthma cardiac	Cardiac asthma
Asthma chronic	Asthma
Asthma exacerbation prophylaxis	Asthma prophylaxis
Asthma exercise induced	Asthma exercise induced
Asthma extrinsic	Asthma
Asthma late onset	Asthma late onset
Asthma prophylaxis	Asthma prophylaxis
Asthma, unspecified	Asthma
Asthma, unspecified type, with status asthmaticus	Status asthmaticus
Asthma-COPD overlap syndrome	Asthma-chronic obstructive pulmonary disease overlap syndrome
Asthma-chronic obstructive pulmonary disease overlap syndrome	Asthma-chronic obstructive pulmonary disease overlap syndrome
Asthma-like condition	Asthma
Asthmatic	Asthma
Asthmatic attack	Asthma
Asthmatic attack atopic	Asthma
Asthmatic attack induced	Asthma
Asthmatic crisis	Asthmatic crisis
Asthmatic wheezing	Wheezing
Asthmatoid bronchitis	Asthma
Astigmatic keratotomy	Astigmatic keratotomy
Astigmatism	Astigmatism
Astigmatism, unspecified	Astigmatism
Astragalectomy	Astragalectomy
Astraphobia	Astraphobia
Astringent therapy	Astringent therapy
Astroblastoma	Astroblastoma
Astrocytoma	Astrocytoma
Astrocytoma malignant	Astrocytoma malignant
Astrocytoma malignant NOS	Astrocytoma malignant
Astrocytoma resection	Astrocytoma surgery
Astrocytoma surgery	Astrocytoma surgery
Astrocytoma, low grade	Astrocytoma, low grade
Astrovirus test positive	Astrovirus test positive
Asymmetric crying facies	Asymmetric crying facies
Asymmetric di-methylarginine	Asymmetric di-methylarginine
Asymmetric di-methylarginine abnormal	Asymmetric di-methylarginine abnormal
Asymmetric di-methylarginine decreased	Asymmetric di-methylarginine decreased
Asymmetric di-methylarginine increased	Asymmetric di-methylarginine increased
Asymmetric di-methylarginine normal	Asymmetric di-methylarginine normal
Asymmetric ears	Anomaly of external ear congenital
Asymmetric gluteal fold	Asymmetric gluteal fold
Asymmetric thigh fold	Asymmetric thigh fold
Asymmetric thyroid	Goitre
Asymmetrical crying facies with cardiac defect	Cayler cardiofacial syndrome
Asymptomatic ARIA-E	Amyloid related imaging abnormality-oedema/effusion
Asymptomatic ARIA-H	Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
Asymptomatic COVID-19	Asymptomatic COVID-19
Asymptomatic HIV infection	Asymptomatic HIV infection
Asymptomatic SARS-CoV-2 infection	Asymptomatic COVID-19
Asymptomatic bacteriuria	Asymptomatic bacteriuria
Asymptomatic bacteriuria antepartum	Bacteriuria in pregnancy
Asymptomatic bacteriuria in pregnancy	Bacteriuria in pregnancy
Asymptomatic bacteriuria postpartum	Bacteriuria in pregnancy
Asymptomatic cerebral infarction	Cerebral infarction
Asymptomatic gene carrier	Asymptomatic gene carrier
Asymptomatic gene carrier NOS	Asymptomatic gene carrier
Asymptomatic haemorrhagic transformation of infarction	Haemorrhagic transformation stroke
Asymptomatic hemorrhagic transformation of infarction	Haemorrhagic transformation stroke
Asymptomatic human immunodeficiency virus type I infection	Asymptomatic HIV infection
Asymptomatic hyperlactataemia	Hyperlactacidaemia
Asymptomatic hyperlactatemia	Hyperlactacidaemia
Asymptomatic hypoglycaemia	Hypoglycaemia
Asymptomatic hypoglycemia	Hypoglycaemia
Asymptomatic infection with HIV	Asymptomatic HIV infection
Asymptomatic myocarditis	Myocarditis
Asymptomatic neurosyphilis	Neurosyphilis
Asymptomatic subarachnoid haemorrhage	Subarachnoid haemorrhage
Asymptomatic subarachnoid hemorrhage	Subarachnoid haemorrhage
Asymptomatic syphilis	Syphilis
Asymptomatic ventricular extrasystoles	Ventricular extrasystoles
Asymptomatic viral hepatitis	Asymptomatic viral hepatitis
Asynclitic presentation	Asynclitic presentation
Asynclitism	Asynclitic presentation
Asynergia	Coordination abnormal
Asystole	Cardiac arrest
Asystolia	Cardiac arrest
Asystolia neonatal	Cardiac arrest neonatal
Asystolic	Cardiac arrest
Ataxia	Ataxia
Ataxia aggravated	Ataxia
Ataxia assessment scale	Ataxia assessment scale
Ataxia cerebellar	Cerebellar ataxia
Ataxia telangiectasia	Ataxia telangiectasia
Ataxia vestibular	Vestibular ataxia
Ataxic	Ataxia
Ataxic gait	Ataxia
Ataxic hemiparesis	Hemiparesis
Ataxic paraparesis	Paraparesis
Atelectasis	Atelectasis
Atelectasis neonatal	Atelectasis neonatal
Atherectomy	Atherectomy
Atheroembolism	Atheroembolism
Atherogenic dyslipidaemia	Dyslipidaemia
Atherogenic dyslipidemia	Dyslipidaemia
Atheroma coronary artery	Arteriosclerosis coronary artery
Atheroma in the circle of Willis	Cerebral arteriosclerosis
Atheromatosis	Arteriosclerosis
Atherosclerosis	Arteriosclerosis
Atherosclerosis cerebral	Cerebral arteriosclerosis
Atherosclerosis generalised	Arteriosclerosis
Atherosclerosis generalized	Arteriosclerosis
Atherosclerosis obliterans	Peripheral arterial occlusive disease
Atherosclerosis obliterans aggravated	Peripheral arterial occlusive disease
Atherosclerosis of aorta	Aortic arteriosclerosis
Atherosclerosis of arteries of the extremities	Peripheral arterial occlusive disease
Atherosclerosis of arteries of the extremities with ulceration	Peripheral arterial occlusive disease
Atherosclerosis of arteries of the extremities, unspecified	Peripheral arterial occlusive disease
Atherosclerosis of autologous vein bypass graft of the extremities	Peripheral arterial occlusive disease
Atherosclerosis of bypass graft of the extremities	Peripheral arterial occlusive disease
Atherosclerosis of non-autologous vein bypass graft of the extremities	Peripheral arterial occlusive disease
Atherosclerosis of renal artery	Renal artery arteriosclerosis
Atherosclerosis of unspecified graft of the extremities	Peripheral arterial occlusive disease
Atherosclerosis prophylaxis	Atherosclerosis prophylaxis
Atherosclerotic cardiovascular disease	Arteriosclerosis
Atherosclerotic dementia	Vascular dementia
Atherosclerotic plaque	Arteriosclerosis
Atherosclerotic plaque rupture	Atherosclerotic plaque rupture
Atherothrombosis	Arterial thrombosis
Atherothrombosis prophylaxis	Thrombosis prophylaxis
Athetoid	Athetosis
Athetoid cerebral palsy	Cerebral palsy
Athetosis	Athetosis
Athlete's foot	Tinea pedis
Athletic bradycardia	Athletic heart syndrome
Athletic heart syndrome	Athletic heart syndrome
Athletic pubalgia	Muscle strain
Athymhormia	Apathy
Atlantoaxial instability	Atlantoaxial instability
Atlantoaxial subluxation	Atlantoaxial subluxation
Atonia	Hypotonia
Atonic bladder (neurogenic)	Neurogenic bladder
Atonic bladder sphincter	Bladder sphincter atony
Atonic gallbladder	Gallbladder hypofunction
Atonic haemorrhage	Uterine haemorrhage
Atonic hemorrhage	Uterine haemorrhage
Atonic seizures	Atonic seizures
Atonic urinary bladder	Atonic urinary bladder
Atonic uterus	Uterine atony
Atony of bladder	Atonic urinary bladder
Atony of stomach	Gastric atony
Atony skeletal muscle	Hypotonia
Atony stomach	Gastric atony
Atony urinary bladder	Atonic urinary bladder
Atony uterine	Uterine atony
Atopic	Atopy
Atopic asthma	Asthma
Atopic cataract	Atopic cataract
Atopic conjunctivitis	Conjunctivitis allergic
Atopic cough	Atopic cough
Atopic dermatitis	Dermatitis atopic
Atopic dermatitis flare	Dermatitis atopic
Atopic eczema	Dermatitis atopic
Atopic flare-up	Dermatitis atopic
Atopic keratoconjunctivitis	Atopic keratoconjunctivitis
Atopic rhinitis	Rhinitis allergic
Atopic urticaria	Urticaria
Atopy	Atopy
Atresia biliary	Congenital absence of bile ducts
Atresia esophagus	Oesophageal atresia
Atresia oesophagus	Oesophageal atresia
Atresia of esophagus	Oesophageal atresia
Atresia of oesophagus	Oesophageal atresia
Atresia of pulmonary valve, congenital	Congenital pulmonary valve atresia
Atresia, salivary duct, congenital	Congenital salivary gland anomaly
Atrial appendage closure	Atrial appendage closure
Atrial appendage ligation	Atrial appendage closure
Atrial appendage resection	Atrial appendage resection
Atrial arrest	Sinus arrest
Atrial arrhythmia	Arrhythmia supraventricular
Atrial arrhythmia NOS	Arrhythmia supraventricular
Atrial bigeminy	Supraventricular extrasystoles
Atrial conduction time prolongation	Atrial conduction time prolongation
Atrial ectopic tachycardia	Atrial tachycardia
Atrial enlargement	Atrial enlargement
Atrial fibrillation	Atrial fibrillation
Atrial fibrillation aggravated	Atrial fibrillation
Atrial fibrillation paroxysmal	Atrial fibrillation
Atrial fibrillation with rapid ventricular response	Atrial fibrillation
Atrial fibrillation with slow ventricular response	Atrial fibrillation
Atrial flutter	Atrial flutter
Atrial flutter with 1:1 atrioventricular conduction	Atrial flutter
Atrial flutter with rapid ventricular response	Atrial flutter
Atrial flutter with slow ventricular response	Atrial flutter
Atrial hypertrophy	Atrial hypertrophy
Atrial lead implantation	Cardiac pacemaker insertion
Atrial lipoma	Cardiac lipoma
Atrial myxoma	Cardiac myxoma
Atrial natriuretic peptide	Atrial natriuretic peptide
Atrial natriuretic peptide abnormal	Atrial natriuretic peptide abnormal
Atrial natriuretic peptide decreased	Atrial natriuretic peptide decreased
Atrial natriuretic peptide increased	Atrial natriuretic peptide increased
Atrial natriuretic peptide normal	Atrial natriuretic peptide normal
Atrial parasystole	Atrial parasystole
Atrial perforation	Cardiac perforation
Atrial pressure	Atrial pressure
Atrial pressure increased	Atrial pressure increased
Atrial rhythm	Arrhythmia supraventricular
Atrial rupture	Atrial rupture
Atrial septal defect	Atrial septal defect
Atrial septal defect NOS	Atrial septal defect
Atrial septal defect acquired	Atrial septal defect acquired
Atrial septal defect repair	Atrial septal defect repair
Atrial switch operation	Atrial switch operation
Atrial tachycardia	Atrial tachycardia
Atrial thrombosis	Atrial thrombosis
Atrial trigeminy	Supraventricular extrasystoles
Atrial undersensing	Undersensing
Atrial-paced rhythm	Pacemaker generated rhythm
Atrichia	Alopecia
Atrichosis	Alopecia
Atrio-esophageal fistula	Atrio-oesophageal fistula
Atrio-oesophageal fistula	Atrio-oesophageal fistula
Atrioventricular block	Atrioventricular block
Atrioventricular block (NOS)	Atrioventricular block
Atrioventricular block NOS	Atrioventricular block
Atrioventricular block complete	Atrioventricular block complete
Atrioventricular block first degree	Atrioventricular block first degree
Atrioventricular block incomplete	Atrioventricular block
Atrioventricular block second degree	Atrioventricular block second degree
Atrioventricular block third degree	Atrioventricular block complete
Atrioventricular block, complete	Atrioventricular block complete
Atrioventricular block, unspecified	Atrioventricular block
